UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,,,,,,,
P09547,680,765,85,0.2524,6.00E-06,42, True, nucleus,4.044,4,0,2,4,2,4,1,4,6,9,2,9,3,2,0,8,1,1,0,2,0.09375,0.09375,0.171875,0.0625,0.25,0.328125,,,,,,,,,,,,,,,,,,,
P12689,133,247,114,0.2766,0.02996,54, nan, nucleus; mitochondrion,2.869,4,0,3,3,1,5,2,2,12,4,0,4,2,7,2,8,2,0,0,3,0.09375,0.21875,0.171875,0.0625,0.09375,0.359375,,,,,,,,,,,,,,,,,,,
P25298,634,665,31,0.202,0.000456,30, nan, cytoplasm; nucleus,4.613,1,0,3,0,2,0,0,1,2,7,0,4,1,3,1,1,1,4,0,1,0.09375,0.09375,0.0625,0.09375,0.375,0.28125,,,,,,,,,,,,,,,,,,,
P26784,164,197,33,0.2464,0.000627,42, True, cytoplasm,4.034,10,0,1,2,1,1,0,0,5,2,0,1,0,1,1,2,2,1,0,2,0.09375,0.1875,0.34375,0.09375,0.09375,0.1875,,,,,,,,,,,,,,,,,,,
P27929,4,161,157,0.2301,0.002761,42, False, mitochondrion,3.743,7,0,4,5,4,10,2,1,14,13,2,2,4,5,6,6,4,3,1,3,0.09375,0.208333333,0.21875,0.083333333,0.197916667,0.197916667,,,,,,,,,,,,,,,,,,,
P38351,155,186,31,0.2453,0.002031,42, True, nucleus; nucleoplasm,3.631,0,0,2,1,1,2,2,2,7,1,1,1,1,1,1,1,2,4,2,0,0.09375,0.25,0.09375,0.09375,0.25,0.21875,,,,,,,,,,,,,,,,,,,
P39529,117,165,48,0.2001,0.011709,30, nan, nucleus,3.103,1,0,1,2,0,1,0,0,2,5,0,4,2,6,2,3,2,1,0,0,0.09375,0.125,0.125,0,0.1875,0.46875,,,,,,,,,,,,,,,,,,,
P40450,100,145,45,0.1791,0.000147,18, nan, ,3.238,2,1,1,2,2,3,1,0,3,3,0,3,0,1,4,3,1,0,2,0,0.09375,0.21875,0.15625,0.125,0.09375,0.3125,,,,,,,,,,,,,,,,,,,
P48525,237,285,48,0.1968,0.000025,18, nan, mitochondrion matrix,4.653,4,1,1,2,1,3,1,2,2,5,1,2,3,0,0,0,3,0,1,0,0.09375,0.0625,0.3125,0.0625,0.25,0.21875,,,,,,,,,,,,,,,,,,,
P50264,8,90,82,0.6238,0.013868,90, False, ,4.098,6,1,5,1,0,10,2,4,4,7,0,2,1,4,4,2,5,3,1,2,0.09375,0.125,0.265625,0.046875,0.21875,0.25,,,,,,,,,,,,,,,,,,,
Q04336,832,993,161,0.2703,0.000364,54, nan, ,3.687,8,1,6,3,4,13,2,3,6,2,2,2,4,1,9,13,5,4,1,7,0.09375,0.15625,0.260416667,0.125,0.114583333,0.25,,,,,,,,,,,,,,,,,,,
Q12186,33,132,99,0.2056,0.00173,30, nan, nucleus,3.177,2,0,3,3,1,2,1,3,8,2,1,2,6,4,7,7,5,4,1,2,0.09375,0.234375,0.15625,0.0625,0.15625,0.296875,,,,,,,,,,,,,,,,,,,
Q12508,361,415,54,0.276,0.001257,54, nan, cytoplasm,3.409,1,0,0,3,0,1,1,2,6,0,1,2,3,0,1,2,5,3,0,1,0.09375,0.21875,0.15625,0.03125,0.1875,0.3125,,,,,,,,,,,,,,,,,,,
P31334,47,177,130,0.23,0.00015,42, nan, mitochondrion,3.375,5,0,2,6,2,11,3,0,12,4,3,2,5,2,6,10,4,5,1,2,0.094117647,0.211764706,0.247058824,0.058823529,0.141176471,0.247058824,,,,,,,,,,,,,,,,,,,
P46945,9,100,91,0.0624,0.015815,6, nan, ,3.167,2,1,2,6,3,2,1,5,9,5,3,6,2,7,10,8,6,1,0,6,0.094117647,0.223529412,0.070588235,0.105882353,0.164705882,0.341176471,,,,,,,,,,,,,,,,,,,
Q06673,881,991,110,0.1727,0.003728,18, nan, cytoplasm,3.706,1,1,3,5,5,1,3,1,7,13,2,3,7,5,7,6,7,2,4,2,0.094117647,0.164705882,0.105882353,0.129411765,0.211764706,0.294117647,,,,,,,,,,,,,,,,,,,
P07244,3,104,101,0.4683,0.0002,90, True, cytoplasm,3.706,5,0,3,2,1,10,1,0,4,1,0,3,3,2,3,5,4,6,0,0,0.094339623,0.132075472,0.339622642,0.018867925,0.132075472,0.283018868,13,0,,,,,,,,,,,,,,,,,
P10964,15,86,71,0.2077,0.000859,30, False, nucleus; nucleolus,4.253,2,2,2,3,2,7,1,2,2,9,0,4,4,2,2,2,4,1,0,2,0.094339623,0.075471698,0.245283019,0.075471698,0.226415094,0.283018868,1,0,,,,,,,,,,,,,,,,,
P32862,756,839,83,0.2615,0.000028,42, nan, cytoplasm; nucleus,3.972,1,1,2,3,3,5,1,2,4,9,1,3,1,5,2,7,1,0,0,2,0.094339623,0.113207547,0.132075472,0.094339623,0.226415094,0.339622642,,,,,,,,,,,,,,,,,,,
P36075,334,440,106,0.2152,0.006613,30, nan, ,3.125,1,0,0,5,0,6,4,3,5,4,0,6,1,3,3,9,1,1,1,0,0.094339623,0.150943396,0.150943396,0.018867925,0.150943396,0.433962264,,,,,,,,,,,,,,,,,,,
P38850,382,477,95,0.2411,0.000547,42, nan, nucleus,3.175,1,0,3,2,2,5,0,2,8,3,2,5,2,2,4,5,3,1,1,2,0.094339623,0.226415094,0.150943396,0.094339623,0.150943396,0.283018868,,,,,,,,,,,,,,,,,,,
P53892,27,79,52,0.159,0.004739,6, nan, cytoplasm; cytoskeleton; spindle pole,4.092,7,0,2,3,2,3,1,2,4,6,3,4,1,6,3,2,1,3,0,0,0.094339623,0.132075472,0.20754717,0.037735849,0.264150943,0.264150943,,,,,,,,,,,,,,,,,,,
Q3E793,5,109,104,0.3352,0.000026,66, nan, mitochondrion matrix,2.879,7,1,2,3,0,8,3,0,9,1,1,2,3,6,2,3,0,1,0,1,0.094339623,0.20754717,0.339622642,0.018867925,0.056603774,0.283018868,,,,,,,,,,,,,,,,,,,
Q99181,11,104,93,0.1704,0.002571,18, nan, nucleus,2.96,2,0,2,3,0,4,0,1,6,3,1,6,3,4,4,3,5,2,0,4,0.094339623,0.188679245,0.169811321,0.075471698,0.132075472,0.339622642,,,,,,,,,,,,,,,,,,,
P22138,551,699,148,0.1942,0,18, False, nucleus; nucleolus,3.63,3,0,4,3,2,9,2,5,4,2,1,4,7,6,2,10,4,3,0,3,0.094594595,0.081081081,0.256756757,0.067567568,0.148648649,0.351351351,3,2,,,,,,,,,,,,,,,,,
P23201,394,522,128,0.2637,5.00E-06,54, False, cell tip,3.807,5,1,5,2,2,4,2,6,4,5,0,5,3,8,2,10,5,2,0,3,0.094594595,0.081081081,0.162162162,0.067567568,0.175675676,0.418918919,,,,,,,,,,,,,,,,,,,
P37297,925,1024,99,0.092,0.000083,6, False, ,3.892,2,0,3,4,1,4,1,4,5,10,1,3,3,2,6,13,5,2,2,3,0.094594595,0.148648649,0.121621622,0.081081081,0.22972973,0.324324324,,,,,,,,,,,,,,,,,,,
P11325,521,597,76,0.193,0.016323,18, nan, mitochondrion matrix,4.267,2,0,2,2,3,5,1,5,5,3,0,2,3,1,0,4,2,1,0,1,0.095238095,0.119047619,0.238095238,0.095238095,0.214285714,0.238095238,,,,,,,,,,,,,,,,,,,
P11792,704,745,41,0.2572,0.000047,42, True, ,4.326,6,0,2,2,4,1,1,1,2,1,4,1,3,2,0,4,6,1,0,1,0.095238095,0.047619048,0.238095238,0.119047619,0.166666667,0.333333333,2,0,,,,,,,,,,,,,,,,,
P21375,435,498,63,0.2518,0.000012,42, nan, mitochondrion,4.364,4,1,1,3,1,10,0,2,6,4,0,3,0,0,0,3,1,3,0,0,0.095238095,0.142857143,0.333333333,0.023809524,0.214285714,0.19047619,,,,,,,,,,,,,,,,,,,
P22082,251,303,52,0.2192,0.000082,30, nan, nucleus,3.607,2,0,1,3,3,0,1,2,5,6,1,2,3,4,5,3,0,1,0,0,0.095238095,0.238095238,0.119047619,0.071428571,0.238095238,0.238095238,,,,,,,,,,,,,,,,,,,
P36167,116,243,127,0.2008,0.002039,30, nan, cytoplasm,3.754,9,2,4,8,4,1,6,4,13,11,2,6,5,4,10,22,5,8,1,1,0.095238095,0.182539683,0.119047619,0.047619048,0.198412698,0.357142857,,,,,,,,,,,,,,,,,,,
P38121,545,567,22,0.2102,0.004131,30, nan, nucleus,3.362,0,0,1,1,0,2,1,2,1,2,0,0,0,2,3,3,2,0,0,1,0.095238095,0.19047619,0.095238095,0.047619048,0.19047619,0.380952381,,,,,,,,,,,,,,,,,,,
P38241,184,324,140,0.1571,0.000117,6, nan, nucleus,3.156,4,0,2,4,0,6,2,1,12,7,0,4,2,3,3,8,3,1,1,0,0.095238095,0.238095238,0.19047619,0.015873016,0.142857143,0.317460317,,,,,,,,,,,,,,,,,,,
P39717,53,125,72,0.1905,0.003242,18, nan, cytoplasm; mitochondrion,3.7,2,0,4,2,5,4,2,3,6,8,1,8,3,2,4,4,1,1,0,3,0.095238095,0.158730159,0.142857143,0.126984127,0.206349206,0.26984127,,,,,,,,,,,,,,,,,,,
P39937,427,507,80,0.2787,0.000743,54, nan, cytoplasm; cytoskeleton,3.083,0,0,3,1,1,3,0,1,5,3,1,8,3,0,3,5,0,2,1,2,0.095238095,0.19047619,0.142857143,0.095238095,0.166666667,0.30952381,,,,,,,,,,,,,,,,,,,
P49167,3,77,74,0.1677,0.007298,18, False, cytoplasm,2.869,3,0,2,2,0,3,0,2,9,3,0,3,2,2,4,4,3,0,0,0,0.095238095,0.30952381,0.19047619,0,0.119047619,0.285714286,9,0,,,,,,,,,,,,,,,,,
P53076,915,935,20,0.2553,0.000014,42, nan, cytoplasm; nucleus,4.581,2,0,0,2,1,1,0,1,0,3,1,3,0,0,1,2,2,1,0,1,0.095238095,0.047619048,0.142857143,0.095238095,0.285714286,0.333333333,,,,,,,,,,,,,,,,,,,
P53119,764,792,28,0.2536,0.001766,42, nan, nucleus; cytoplasm; cytosol,4.757,1,0,0,2,1,2,2,3,0,1,2,1,0,1,0,3,0,1,1,0,0.095238095,0,0.142857143,0.095238095,0.333333333,0.333333333,,,,,,,,,,,,,,,,,,,
P54858,85,126,41,0.2472,0.000025,42, nan, ,3.695,2,0,1,3,3,1,1,1,6,3,1,2,0,2,0,7,4,1,2,2,0.095238095,0.142857143,0.071428571,0.166666667,0.142857143,0.380952381,,,,,,,,,,,,,,,,,,,
Q02046,299,319,20,0.5506,0.00065,90, True, nucleus; cytoplasm,4.567,1,0,0,2,0,0,0,1,2,5,2,2,0,0,3,1,0,2,0,0,0.095238095,0.238095238,0.047619048,0,0.476190476,0.142857143,,,,,,,,,,,,,,,,,,,
Q07381,699,777,78,0.2927,0.000127,54, False, nucleus; nucleolus; cytoplasm,3.133,2,0,2,2,3,6,2,1,5,0,1,0,1,1,4,4,4,0,2,2,0.095238095,0.214285714,0.214285714,0.166666667,0.047619048,0.261904762,4,0,,,,,,,,,,,,,,,,,
Q12692,26,123,97,0.1298,0.000467,6, False, nucleus; chromosome,3.519,9,0,3,3,0,8,2,1,6,6,0,2,3,1,8,3,3,2,0,3,0.095238095,0.222222222,0.317460317,0.047619048,0.142857143,0.174603175,2,1,,,,,,,,,,,,,,,,,
P34244,36,465,429,0.1078,0.006882,6, nan, bud neck,3.025,7,1,9,12,1,22,9,3,31,7,6,16,11,7,14,39,13,10,0,2,0.095454545,0.204545455,0.181818182,0.013636364,0.118181818,0.386363636,,,,,,,,,,,,,,,,,,,
Q05027,32,142,110,0.1524,0,6, False, nucleus,4.117,9,1,4,5,2,8,2,1,6,13,3,2,5,9,5,5,4,6,1,3,0.095744681,0.117021277,0.234042553,0.063829787,0.244680851,0.244680851,1,1,,,,,,,,,,,,,,,,,
P40851,1086,1184,98,0.3783,0.002499,78, nan, bud neck,3.664,3,0,1,6,3,8,1,8,11,6,1,5,1,5,5,4,2,1,1,1,0.095890411,0.219178082,0.164383562,0.068493151,0.219178082,0.232876712,,,,,,,,,,,,,,,,,,,
P53881,163,287,124,0.2522,0.000146,42, nan, mitochondrion,2.999,3,0,1,6,3,8,2,2,13,6,0,1,0,6,10,5,2,2,0,3,0.095890411,0.315068493,0.150684932,0.082191781,0.136986301,0.219178082,,,,,,,,,,,,,,,,,,,
Q12393,87,233,146,0.3093,0.018983,66, nan, mitochondrion,3.308,6,0,4,3,2,5,4,1,8,4,1,6,4,5,5,5,4,5,0,1,0.095890411,0.178082192,0.205479452,0.04109589,0.150684932,0.328767123,,,,,,,,,,,,,,,,,,,
P39525,6,274,268,0.2112,0.000062,30, nan, mitochondrion,3.354,4,1,5,7,3,19,2,6,7,8,1,17,5,5,8,16,8,1,1,1,0.096,0.12,0.224,0.04,0.128,0.392,,,,,,,,,,,,,,,,,,,
P38285,204,534,330,0.1168,0.001467,6, nan, nucleus; cytoplasm,2.956,8,0,6,9,2,11,5,1,21,14,3,13,7,10,19,11,6,6,2,2,0.096153846,0.256410256,0.166666667,0.038461538,0.153846154,0.288461538,,,,,,,,,,,,,,,,,,,
P53294,10,94,84,0.3088,0.020827,66, nan, cytoplasm; mitochondrion,2.948,2,0,4,1,2,5,4,1,6,2,0,2,3,1,8,2,3,3,0,3,0.096153846,0.269230769,0.192307692,0.096153846,0.115384615,0.230769231,,,,,,,,,,,,,,,,,,,
Q07471,379,565,186,0.3094,0.001324,66, False, nucleus,3.413,4,0,6,2,3,14,3,2,5,4,0,6,5,6,5,6,4,4,3,1,0.096385542,0.120481928,0.277108434,0.084337349,0.120481928,0.301204819,,,,,,,,,,,,,,,,,,,
P29496,154,335,181,0.2927,0.000034,54, nan, nucleus,3.406,3,0,4,7,2,17,2,7,7,3,2,13,5,1,9,19,7,4,0,2,0.096491228,0.140350877,0.219298246,0.035087719,0.140350877,0.368421053,1,0,,,,,,,,,,,,,,,,,
P14680,328,450,122,0.2533,0.000122,42, nan, nucleus; cytoplasm,3.447,0,1,1,5,0,6,2,4,8,6,0,7,3,4,2,3,6,3,0,1,0.096774194,0.161290323,0.14516129,0.016129032,0.209677419,0.370967742,,,,,,,,,,,,,,,,,,,
P16474,440,545,105,0.388,0.000188,78, False, endoplasmic reticulum lumen,3.529,6,0,3,3,0,9,0,3,8,2,1,4,6,2,3,4,5,3,0,0,0.096774194,0.177419355,0.338709677,0,0.14516129,0.241935484,8,0,,,,,,,,,,,,,,,,,
P21269,498,544,46,0.4482,0.000372,90, True, nucleus; cytoplasm; mitochondrion,2.832,1,0,2,1,1,3,0,1,5,1,1,2,4,4,1,0,3,0,0,1,0.096774194,0.193548387,0.258064516,0.064516129,0.096774194,0.290322581,,,,,,,,,,,,,,,,,,,
P25608,293,366,73,0.6577,0.073574,90, nan, ,4.173,5,0,2,4,4,8,3,6,5,3,0,2,6,1,4,2,2,4,0,1,0.096774194,0.14516129,0.306451613,0.080645161,0.209677419,0.161290323,,,,,,,,,,,,,,,,,,,
P29468,197,349,152,0.2663,6.00E-06,54, False, nucleus,3.423,5,1,1,5,2,4,1,3,5,3,1,6,6,6,5,4,1,3,0,0,0.096774194,0.161290323,0.241935484,0.032258065,0.161290323,0.306451613,1,0,,,,,,,,,,,,,,,,,
P36113,255,301,46,0.1816,0.002147,18, nan, ,3.129,1,1,2,1,3,0,3,1,2,1,0,2,2,0,4,4,1,0,1,2,0.096774194,0.193548387,0.096774194,0.193548387,0.064516129,0.35483871,,,,,,,,,,,,,,,,,,,
P36144,187,263,76,0.1556,1.00E-06,6, nan, nucleus; nucleolus,3.376,1,1,3,3,3,5,0,5,5,3,0,6,4,6,3,9,3,0,0,2,0.096774194,0.129032258,0.161290323,0.080645161,0.129032258,0.403225806,,,,,,,,,,,,,,,,,,,
P38792,55,99,44,0.27,0.00072,54, True, nucleus; nucleolus; cytoplasm,4.545,1,0,2,1,1,4,1,2,0,4,2,2,3,0,2,1,2,2,0,1,0.096774194,0.064516129,0.258064516,0.064516129,0.322580645,0.193548387,,,,,,,,,,,,,,,,,,,
P38833,46,78,32,0.1403,0,6, nan, ,3.829,2,0,2,1,0,3,0,1,2,3,0,4,0,2,3,3,1,4,0,0,0.096774194,0.161290323,0.161290323,0,0.258064516,0.322580645,,,,,,,,,,,,,,,,,,,
P40466,298,416,118,0.1583,0.002154,6, nan, cytoplasm; cytosol; nucleus,2.71,5,0,4,2,2,7,1,1,9,2,2,5,3,3,9,6,0,0,0,1,0.096774194,0.290322581,0.241935484,0.048387097,0.080645161,0.241935484,,,,,,,,,,,,,,,,,,,
Q02733,60,99,39,0.3733,4.00E-06,78, nan, cytoplasm,3.677,3,0,1,2,1,1,0,0,2,4,1,0,2,4,3,2,2,1,0,2,0.096774194,0.161290323,0.193548387,0.096774194,0.193548387,0.258064516,,,,,,,,,,,,,,,,,,,
Q12259,226,258,32,0.1619,0.006534,6, nan, nucleus,4.577,1,2,1,2,0,1,1,3,2,4,0,1,1,1,1,3,4,2,0,1,0.096774194,0.096774194,0.096774194,0.032258065,0.290322581,0.387096774,,,,,,,,,,,,,,,,,,,
Q12386,838,872,34,0.3267,0.008991,66, nan, nucleus; cytoplasm; cytoskeleton,5.006,3,0,1,2,1,2,1,4,2,5,0,1,0,1,1,2,1,2,2,0,0.096774194,0.096774194,0.161290323,0.096774194,0.35483871,0.193548387,,,,,,,,,,,,,,,,,,,
P53254,520,718,198,0.155,0.000533,6, False, nucleus; nucleolus,3.342,5,1,6,4,3,9,3,3,15,6,2,7,5,3,5,12,7,3,0,4,0.097087379,0.194174757,0.184466019,0.067961165,0.13592233,0.32038835,1,0,,,,,,,,,,,,,,,,,
P04051,262,365,103,0.2168,0.000408,30, False, nucleus,3.846,5,1,5,2,1,10,0,3,6,2,4,5,5,3,3,9,1,5,2,0,0.097222222,0.125,0.277777778,0.041666667,0.194444444,0.263888889,1,1,,,,,,,,,,,,,,,,,
P24583,411,541,130,0.1818,2.00E-06,18, True, ,3.268,3,2,5,2,1,7,4,5,11,3,1,2,2,4,5,4,6,1,1,3,0.097222222,0.222222222,0.166666667,0.069444444,0.138888889,0.305555556,,,,,,,,,,,,,,,,,,,
P53046,268,391,123,0.4104,0.006764,78, nan, ,4.096,2,0,5,2,2,5,1,2,7,10,2,3,1,3,2,14,5,4,0,2,0.097222222,0.125,0.111111111,0.055555556,0.25,0.361111111,,,,,,,,,,,,,,,,,,,
P53897,34,106,72,0.3325,0.000684,66, False, ,3.383,2,1,5,2,2,4,1,6,12,5,3,6,4,3,4,4,3,0,0,5,0.097222222,0.222222222,0.138888889,0.097222222,0.194444444,0.25,,,,,,,,,,,,,,,,,,,
Q04792,8,87,79,0.4056,0.000216,78, nan, ,3.762,5,0,5,2,0,7,4,2,6,8,1,6,3,6,1,7,2,5,0,2,0.097222222,0.097222222,0.208333333,0.027777778,0.222222222,0.347222222,,,,,,,,,,,,,,,,,,,
P29539,1220,1269,49,0.1037,0.001133,6, nan, nucleus; chromosome; telomere,3.295,1,0,3,1,1,2,1,1,6,4,1,5,2,2,2,2,3,2,1,1,0.097560976,0.195121951,0.12195122,0.073170732,0.195121951,0.317073171,,,,,,,,,,,,,,,,,,,
P31334,222,264,42,0.23,0.00015,42, nan, mitochondrion,4.124,2,0,2,2,1,3,2,3,5,1,1,5,1,2,0,2,1,7,1,0,0.097560976,0.12195122,0.146341463,0.048780488,0.292682927,0.292682927,,,,,,,,,,,,,,,,,,,
P32591,322,388,66,0.2167,0.000882,30, True, nucleus,2.849,2,0,1,3,1,2,0,1,2,1,1,6,4,1,6,3,3,1,1,2,0.097560976,0.195121951,0.195121951,0.097560976,0.097560976,0.317073171,,,,,,,,,,,,,,,,,,,
P32618,7,136,129,0.2567,0.000146,42, nan, ,3.851,5,2,4,4,1,3,0,3,9,8,1,7,6,2,2,9,7,4,1,4,0.097560976,0.134146341,0.170731707,0.073170732,0.195121951,0.329268293,,,,,,,,,,,,,,,,,,,
P33334,1308,1447,139,0.2276,0.000026,30, False, nucleus,3.737,6,0,3,5,2,9,2,3,9,6,2,1,5,1,5,6,11,2,2,2,0.097560976,0.170731707,0.243902439,0.073170732,0.158536585,0.256097561,,,,,,,,,,,,,,,,,,,
P38132,741,803,62,0.2591,0.000311,42, nan, nucleus; cytoplasm,2.946,0,0,0,4,0,3,1,1,6,4,1,6,0,3,2,3,5,1,0,1,0.097560976,0.195121951,0.073170732,0.024390244,0.170731707,0.43902439,,,,,,,,,,,,,,,,,,,
P38167,188,231,43,0.1954,3.00E-06,18, nan, cytoplasm,4.339,1,0,0,4,3,3,0,3,4,5,0,2,2,1,1,5,3,2,0,2,0.097560976,0.12195122,0.146341463,0.12195122,0.243902439,0.268292683,,,,,,,,,,,,,,,,,,,
P40468,246,286,40,0.1047,0.001032,6, False, ,3.127,2,0,0,4,2,0,3,0,5,4,2,4,1,1,3,6,2,0,0,2,0.097560976,0.195121951,0.073170732,0.097560976,0.146341463,0.390243902,,,,,,,,,,,,,,,,,,,
P46958,119,159,40,0.3122,0.004897,66, nan, ,3.824,1,0,2,2,0,1,1,3,0,4,0,1,6,3,5,6,2,3,1,0,0.097560976,0.12195122,0.195121951,0.024390244,0.243902439,0.317073171,,,,,,,,,,,,,,,,,,,
P53840,741,790,49,0.1801,0.001451,18, nan, nucleus,4.002,2,0,1,3,3,3,1,0,4,5,1,3,3,0,2,3,0,3,0,4,0.097560976,0.146341463,0.195121951,0.170731707,0.219512195,0.170731707,,,,,,,,,,,,,,,,,,,
P53875,9,72,63,0.1764,0.005684,18, nan, mitochondrion,3.073,3,0,2,2,0,6,0,2,6,0,0,1,8,2,2,2,3,1,0,1,0.097560976,0.195121951,0.414634146,0.024390244,0.073170732,0.195121951,,,,,,,,,,,,,,,,,,,
Q07953,98,171,73,0.2117,0.00056,30, False, nucleus; cytoplasm,2.995,2,0,0,4,0,0,0,1,9,2,2,3,4,3,3,3,2,3,0,0,0.097560976,0.292682927,0.146341463,0,0.195121951,0.268292683,,,,,,,,,,,,,,,,,,,
P25367,4,148,144,0.1072,0,6, False, nucleus; cytoplasm,3.311,8,0,6,3,2,18,1,0,5,1,4,6,0,8,3,23,2,1,0,1,0.097826087,0.086956522,0.282608696,0.032608696,0.065217391,0.434782609,,,,,,,,,,,,,,,,,,,
P40535,283,546,263,0.23,0.000045,42, nan, nucleus,3.472,14,1,10,14,7,11,6,13,27,18,2,29,14,13,12,24,16,10,0,4,0.097959184,0.159183673,0.159183673,0.044897959,0.175510204,0.363265306,,,,,,,,,,,,,,,,,,,
P05986,86,168,82,0.3335,0.001104,66, nan, ,3.663,0,0,3,2,3,5,4,5,3,3,1,3,1,3,5,4,3,2,1,0,0.098039216,0.156862745,0.117647059,0.078431373,0.215686275,0.333333333,,,,,,,,,,,,,,,,,,,
P09798,766,816,50,0.1483,0.0009,6, False, nucleus,3.29,4,0,4,1,1,0,0,2,9,5,2,5,1,3,4,6,2,1,0,1,0.098039216,0.254901961,0.098039216,0.039215686,0.196078431,0.31372549,,,,,,,,,,,,,,,,,,,
P0CT86,9,59,50,0.2148,0.010653,30, nan, ,3.706,4,1,0,5,1,2,0,2,4,5,0,5,3,4,2,5,2,2,1,3,0.098039216,0.117647059,0.176470588,0.098039216,0.176470588,0.333333333,,,,,,,,,,,,,,,,,,,
P29295,5,86,81,0.2221,0.000719,30, nan, nucleus; nucleoplasm; nucleus; nucleolus; cytoplasm,3.6,0,0,1,4,2,13,1,4,2,3,0,0,2,1,8,6,0,1,0,3,0.098039216,0.196078431,0.294117647,0.098039216,0.156862745,0.156862745,,,,,,,,,,,,,,,,,,,
P38277,458,512,54,0.6079,0.257573,90, nan, cytoplasm,3.639,2,0,2,3,3,2,3,2,7,9,2,4,0,2,5,3,0,0,2,0,0.098039216,0.235294118,0.078431373,0.098039216,0.254901961,0.235294118,,,,,,,,,,,,,,,,,,,
Q02555,370,454,84,0.162,0.000193,6, nan, ,3.52,5,0,3,2,1,6,0,1,6,2,0,2,3,2,6,3,3,5,0,1,0.098039216,0.235294118,0.274509804,0.039215686,0.156862745,0.196078431,,,,,,,,,,,,,,,,,,,
Q12093,2,238,236,0.2717,0.007354,54, nan, mitochondrion,2.887,4,2,2,8,2,17,2,1,8,5,1,11,8,4,11,11,3,0,0,2,0.098039216,0.18627451,0.284313725,0.039215686,0.068627451,0.323529412,,,,,,,,,,,,,,,,,,,
P47001,31,226,195,0.3079,0.001569,66, False, secreted; cell wall,3.725,15,3,7,4,0,14,0,2,7,2,0,5,3,6,0,22,20,2,0,0,0.098214286,0.0625,0.285714286,0,0.053571429,0.5,2,1,,,,,,,,,,,,,,,,,
P09435,395,500,105,0.462,0.000209,90, nan, cytoplasm,3.148,3,0,2,4,0,10,0,2,8,3,0,5,7,0,4,6,5,1,0,1,0.098360656,0.196721311,0.327868852,0.016393443,0.098360656,0.262295082,,,,,,,,,,,,,,,,,,,
P38931,849,914,65,0.1644,0.000641,18, nan, nucleus,4.311,2,0,4,2,2,5,0,6,4,8,1,5,2,4,2,2,5,3,0,4,0.098360656,0.098360656,0.147540984,0.098360656,0.295081967,0.262295082,,,,,,,,,,,,,,,,,,,
P53323,4,107,103,0.3721,0.010587,78, False, nucleus; cytoplasm; chromosome; telomere,3.684,5,2,4,2,2,3,3,4,4,5,0,2,7,5,3,4,2,0,0,4,0.098360656,0.114754098,0.245901639,0.098360656,0.147540984,0.295081967,1,0,,,,,,,,,,,,,,,,,
P50111,814,912,98,0.1972,0.000082,18, nan, cytoplasm,3.596,4,0,5,2,4,2,3,2,6,5,2,4,6,9,3,4,2,5,0,3,0.098591549,0.126760563,0.169014085,0.098591549,0.197183099,0.309859155,,,,,,,,,,,,,,,,,,,
P40038,165,276,111,0.2386,0.000025,42, nan, nucleus; cytoplasm,3.46,4,2,6,2,3,4,1,3,10,3,1,6,5,3,6,6,8,5,0,3,0.098765432,0.197530864,0.160493827,0.074074074,0.148148148,0.320987654,,,,,,,,,,,,,,,,,,,
Q12181,8,186,178,0.3293,0.000091,66, nan, cytoplasm; mitochondrion,2.632,2,0,4,4,1,12,3,1,11,3,1,9,4,6,4,9,5,0,0,2,0.098765432,0.185185185,0.222222222,0.037037037,0.061728395,0.395061728,,,,,,,,,,,,,,,,,,,
Q03690,220,350,130,0.2284,4.00E-06,30, False, cytoplasm,3.578,4,0,4,5,5,3,3,2,9,7,0,5,10,2,3,17,5,3,1,3,0.098901099,0.131868132,0.186813187,0.098901099,0.131868132,0.351648352,8,1,,,,,,,,,,,,,,,,,
Q12273,179,356,177,0.0926,0.018996,6, nan, nucleus; cytoplasm,2.911,4,0,5,4,3,8,3,2,8,2,0,15,2,8,3,8,11,3,0,2,0.098901099,0.120879121,0.153846154,0.054945055,0.076923077,0.494505495,,,,,,,,,,,,,,,,,,,
P00931,380,493,113,0.4403,0.000298,90, True, ,3.841,6,0,0,0,1,9,2,2,6,6,0,3,2,0,7,3,6,1,0,0,0.1,0.1,0.314814815,0.018518519,0.166666667,0.259259259,16,0,,,,,,,,,,,,,,,,,
P02381,322,397,75,0.2489,0.000449,42, nan, mitochondrion,3.204,0,0,0,0,0,5,0,3,7,6,0,15,0,0,2,5,4,0,1,4,0.1,0.1,0.096153846,0.096153846,0.173076923,0.461538462,,,,,,,,,,,,,,,,,,,
