UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,
P25651,75,178,103,0.1105,0.001111,6, nan, nucleus; nucleolus; chromosome; centromere,2.923,2,0,5,5,0,6,2,0,5,3,0,3,1,5,1,10,2,2,0,5,0.175438596,0.105263158,0.157894737,0.087719298,0.087719298,0.385964912,,,,,,,,,,,,,
P22133,13,369,356,0.4434,0.000015,90, True, cytoplasm,2.698,4,0,14,10,1,24,6,1,9,4,1,17,9,7,5,13,3,3,0,2,0.180451128,0.105263158,0.278195489,0.022556391,0.067669173,0.345864662,4,0,,,,,,,,,,,
P20436,5,59,54,0.1934,0.000115,18, True, nucleus,3.179,4,0,5,3,2,1,0,2,2,1,0,2,2,4,2,2,5,0,0,1,0.210526316,0.105263158,0.184210526,0.078947368,0.078947368,0.342105263,1,0,,,,,,,,,,,
P34223,8,59,51,0.4204,0.000114,78, True, cytoplasm; nucleus,2.445,3,0,4,4,0,1,2,1,1,1,0,5,0,6,3,3,1,1,1,1,0.210526316,0.105263158,0.105263158,0.052631579,0.078947368,0.447368421,,,,,,,,,,,,,
P40316,226,283,57,0.2863,0.001185,54, nan, nucleus; cytoplasm,2.967,1,0,7,5,1,3,0,4,5,3,0,4,5,8,1,3,3,1,0,3,0.210526316,0.105263158,0.157894737,0.070175439,0.140350877,0.315789474,,,,,,,,,,,,,
P53866,385,452,67,0.094,0.000884,6, nan, nucleus; cytoplasm,2.876,1,0,9,2,2,4,0,0,1,1,1,5,2,0,3,1,1,2,1,2,0.289473684,0.105263158,0.184210526,0.131578947,0.105263158,0.184210526,,,,,,,,,,,,,
P32634,4,287,283,0.1921,4.00E-06,18, nan, cytoplasm,3.352,5,1,8,14,2,10,2,8,10,10,2,16,11,7,5,15,9,3,0,4,0.154929577,0.105633803,0.183098592,0.042253521,0.161971831,0.352112676,,,,,,,,,,,,,
P09032,356,563,207,0.2824,0.000239,54, False, cytoplasm; cytosol,3.416,7,0,15,16,5,12,3,9,11,6,3,10,7,6,4,14,5,5,1,3,0.218309859,0.105633803,0.183098592,0.063380282,0.161971831,0.267605634,2,0,,,,,,,,,,,
P32585,2,110,108,0.2589,0.037263,42, nan, nucleus,3.655,1,1,7,4,1,4,1,4,5,10,1,10,7,3,4,9,4,4,1,4,0.129411765,0.105882353,0.141176471,0.070588235,0.223529412,0.329411765,,,,,,,,,,,,,
P06787,9,140,131,0.3479,0.003136,66, False, cytoplasm; cytoskeleton; microtubule organizing center; spindle pole body,3.135,8,0,9,13,0,8,2,2,6,5,1,7,0,4,3,11,3,3,0,0,0.258823529,0.105882353,0.188235294,0,0.129411765,0.317647059,7,0,,,,,,,,,,,
P36084,197,525,328,0.2152,0.002954,30, nan, ,3.136,7,1,13,17,2,16,1,1,13,8,1,13,5,6,3,18,17,5,1,3,0.198675497,0.105960265,0.185430464,0.039735099,0.099337748,0.370860927,,,,,,,,,,,,,
P02381,305,379,74,0.2489,0.000449,42, nan, mitochondrion,3.671,0,0,2,0,1,4,0,4,5,8,3,17,1,0,2,4,5,1,2,7,0.03030303,0.106060606,0.075757576,0.151515152,0.242424242,0.393939394,,,,,,,,,,,,,
P38784,16,85,69,0.2424,0.000169,42, nan, ,3.783,1,0,5,6,1,5,0,3,4,8,1,3,0,5,3,6,3,4,1,7,0.166666667,0.106060606,0.090909091,0.136363636,0.242424242,0.257575758,,,,,,,,,,,,,
P32849,399,551,152,0.1427,0.001598,6, nan, nucleus; cytoplasm,3.723,10,0,7,10,4,9,3,4,10,8,5,7,3,7,2,10,5,4,2,3,0.150442478,0.10619469,0.194690265,0.079646018,0.185840708,0.283185841,,,,,,,,,,,,,
P40314,48,117,69,0.3491,0.011163,66, nan, nucleus; cytoplasm,3.319,2,1,0,4,1,4,3,0,5,4,2,5,3,4,0,4,3,1,0,1,0.085106383,0.106382979,0.191489362,0.042553191,0.14893617,0.425531915,,,,,,,,,,,,,
P69850,33,81,48,0.2595,0.000014,42, False, chromosome; centromere; kinetochore; nucleus; cytoplasm; cytoskeleton; spindle; chromosome,3.889,0,0,2,3,0,3,2,4,2,6,1,1,1,7,3,5,2,3,0,2,0.106382979,0.106382979,0.085106383,0.042553191,0.29787234,0.361702128,,,,,,,,,,,,,
Q6Q5H1,180,350,170,0.0438,0.015431,6, nan, cytoplasm,3.021,5,0,7,5,4,7,3,2,7,2,0,14,2,10,3,6,10,5,0,2,0.127659574,0.106382979,0.14893617,0.063829787,0.095744681,0.457446809,,,,,,,,,,,,,
P32485,16,362,346,0.4476,0.000019,90, True, nucleus; cytoplasm,3.17,7,1,21,7,1,13,5,4,12,4,3,6,16,9,3,8,14,7,0,0,0.19858156,0.106382979,0.255319149,0.007092199,0.127659574,0.304964539,8,0,,,,,,,,,,,
P53185,22,370,348,0.2289,0.0001,30, nan, nucleus; nucleolus; cytoplasm,2.904,9,0,17,17,2,12,6,6,13,7,1,19,7,9,5,24,10,2,0,3,0.201183432,0.106508876,0.165680473,0.029585799,0.094674556,0.402366864,,,,,,,,,,,,,
Q08886,104,131,27,0.1738,0,18, nan, cytoplasm,4.35,0,2,2,1,2,0,0,0,2,2,1,3,1,0,1,1,4,4,0,2,0.107142857,0.107142857,0.035714286,0.142857143,0.25,0.357142857,,,,,,,,,,,,,
P36117,14,119,105,0.1971,0.000623,18, nan, cytoplasm,4.174,3,0,3,8,5,5,1,6,6,6,1,4,9,2,3,6,7,7,1,1,0.130952381,0.107142857,0.202380952,0.083333333,0.238095238,0.238095238,,,,,,,,,,,,,
P38883,506,603,97,0.1885,0.005625,18, False, nucleus,3.698,0,1,2,6,3,2,1,4,3,4,1,6,4,1,3,5,4,2,2,2,0.142857143,0.107142857,0.107142857,0.125,0.196428571,0.321428571,2,2,,,,,,,,,,,
Q03784,3,40,37,0.2449,0.007609,42, False, golgi apparatus; cis-golgi network; preautophagosomal structure; endoplasmic reticulum,3.875,0,0,1,3,1,2,1,3,2,3,0,3,0,1,1,3,2,1,0,1,0.142857143,0.107142857,0.071428571,0.071428571,0.25,0.357142857,,,,,,,,,,,,,
Q12440,570,645,75,0.2167,0.003136,30, nan, nucleus; cytoplasm,3.955,2,1,6,4,2,2,1,6,4,7,0,4,2,3,2,4,1,1,1,3,0.178571429,0.107142857,0.107142857,0.107142857,0.25,0.25,,,,,,,,,,,,,
P40091,16,119,103,0.1919,2.00E-06,18, nan, ,3.579,3,0,6,10,3,0,4,2,7,14,1,6,4,4,2,6,1,2,0,9,0.19047619,0.107142857,0.083333333,0.142857143,0.226190476,0.25,,,,,,,,,,,,,
P53899,16,56,40,0.1724,0.001724,18, False, nucleus; cytoplasm,3.171,1,1,2,4,2,0,4,0,0,4,0,2,1,1,3,2,0,0,0,1,0.214285714,0.107142857,0.071428571,0.107142857,0.142857143,0.357142857,,,,,,,,,,,,,
Q08912,174,621,447,0.4478,0.121993,90, nan, secreted,3.113,14,0,24,26,4,26,3,6,14,10,5,22,9,10,10,15,10,7,2,7,0.223214286,0.107142857,0.21875,0.058035714,0.125,0.267857143,,,,,,,,,,,,,
P33748,263,291,28,0.21,0.00008,30, nan, nucleus; cytoplasm,3.436,0,0,9,0,0,0,0,1,0,4,0,2,0,0,3,4,2,2,0,1,0.321428571,0.107142857,0,0.035714286,0.25,0.285714286,,,,,,,,,,,,,
P38208,7,125,118,0.2619,0.000021,54, nan, nucleus,2.912,3,0,10,9,2,4,2,2,3,3,1,1,1,3,3,6,3,0,0,0,0.339285714,0.107142857,0.142857143,0.035714286,0.107142857,0.267857143,,,,,,,,,,,,,
P41813,336,779,443,0.222,0.000584,30, nan, cytoplasm; cytosol; nucleus,3.476,25,1,9,15,8,19,7,13,22,28,10,55,30,29,19,52,25,11,1,3,0.062827225,0.107329843,0.193717277,0.031413613,0.162303665,0.442408377,1,1,,,,,,,,,,,
P38123,2,313,311,0.3322,0.000062,66, nan, nucleus; chromosome; telomere,3.544,1,2,8,6,1,21,3,2,6,11,3,8,5,7,7,13,8,5,2,2,0.115702479,0.107438017,0.223140496,0.041322314,0.173553719,0.338842975,,,,,,,,,,,,,
Q04215,180,350,170,0.0637,0.000732,6, nan, cytoplasm,3.132,7,1,8,4,4,5,4,3,7,1,0,11,3,9,3,7,10,4,0,2,0.129032258,0.107526882,0.161290323,0.064516129,0.086021505,0.451612903,,,,,,,,,,,,,
P38781,280,523,243,0.2007,0.00084,30, nan, nucleus,3.377,4,3,9,7,7,2,8,4,13,9,2,16,7,9,1,12,7,5,0,5,0.123076923,0.107692308,0.1,0.092307692,0.153846154,0.423076923,,,,,,,,,,,,,
P32634,549,630,81,0.1921,4.00E-06,18, nan, cytoplasm,3.943,4,0,5,5,2,6,0,5,3,6,1,4,1,0,4,7,3,1,1,7,0.153846154,0.107692308,0.169230769,0.153846154,0.2,0.215384615,,,,,,,,,,,,,
P38274,751,816,65,0.2925,0.000094,54, nan, bud neck,3.705,2,0,6,7,1,1,5,2,5,7,1,3,5,1,2,7,4,6,0,0,0.2,0.107692308,0.123076923,0.015384615,0.246153846,0.307692308,,,,,,,,,,,,,
P38345,49,120,71,0.4822,0.002964,90, nan, mitochondrion matrix,3.452,2,0,4,9,3,6,0,4,4,4,0,3,5,5,3,4,6,2,0,1,0.2,0.107692308,0.2,0.061538462,0.153846154,0.276923077,1,0,,,,,,,,,,,
P32461,29,474,445,0.2878,0.000015,54, False, cytoplasm,3.032,17,1,23,20,4,19,8,2,12,7,2,9,9,13,9,14,16,5,1,4,0.220512821,0.107692308,0.230769231,0.046153846,0.082051282,0.312820513,2,0,,,,,,,,,,,
Q06673,523,786,263,0.1727,0.003728,18, nan, cytoplasm,3.495,5,0,12,4,6,3,5,6,13,14,2,21,5,6,2,17,10,3,1,4,0.115107914,0.107913669,0.09352518,0.079136691,0.179856115,0.424460432,,,,,,,,,,,,,
P32838,6,354,348,0.3173,0.004397,66, nan, ,2.926,7,0,17,12,2,15,4,3,7,4,2,11,10,11,8,11,4,6,0,5,0.208633094,0.107913669,0.230215827,0.050359712,0.107913669,0.294964029,,,,,,,,,,,,,
Q04183,269,338,69,0.1751,0.001039,18, False, golgi apparatus; cis-golgi network,4.751,1,0,2,0,1,4,0,2,2,8,0,1,0,3,2,5,0,3,0,3,0.054054054,0.108108108,0.135135135,0.108108108,0.351351351,0.243243243,,,,,,,,,,,,,
Q08887,160,271,111,0.1973,0.017667,18, nan, nucleus; cytoplasm,3.914,3,1,4,2,10,5,1,2,8,12,2,11,10,6,4,15,11,3,0,1,0.054054054,0.108108108,0.162162162,0.099099099,0.171171171,0.405405405,,,,,,,,,,,,,
P23255,340,387,47,0.173,4.00E-06,18, nan, nucleus,4.335,3,1,2,1,1,2,2,5,3,2,0,2,4,1,1,2,1,2,1,1,0.081081081,0.108108108,0.243243243,0.081081081,0.243243243,0.243243243,,,,,,,,,,,,,
P16664,117,155,38,0.2214,0.000065,30, nan, golgi apparatus,4.062,0,0,1,3,3,2,1,3,3,1,1,0,1,5,1,5,1,4,0,2,0.108108108,0.108108108,0.081081081,0.135135135,0.243243243,0.324324324,,,,,,,,,,,,,
P53155,5,261,256,0.286,0.00001,54, nan, nucleus; cytoplasm,2.595,4,0,7,11,0,15,0,1,5,2,1,18,5,14,7,6,7,5,0,3,0.162162162,0.108108108,0.216216216,0.027027027,0.081081081,0.405405405,,,,,,,,,,,,,
Q06479,758,802,44,0.2782,0.000084,54, nan, ,3.727,0,1,2,4,2,2,2,2,1,2,1,1,2,2,3,0,1,3,0,6,0.162162162,0.108108108,0.108108108,0.216216216,0.216216216,0.189189189,,,,,,,,,,,,,
P53930,147,192,45,0.2508,0.000102,42, nan, nucleus; cytoplasm,3.646,0,1,3,7,3,1,0,3,3,1,1,4,1,1,1,2,1,3,0,1,0.27027027,0.108108108,0.054054054,0.108108108,0.216216216,0.243243243,,,,,,,,,,,,,
P25631,5,199,194,0.3216,0.000699,66, False, ,2.881,6,0,16,20,0,18,2,2,3,2,1,9,1,4,9,2,4,9,1,2,0.324324324,0.108108108,0.225225225,0.027027027,0.126126126,0.189189189,6,0,,,,,,,,,,,
Q05778,122,260,138,0.34,0.000098,66, False, cytoplasm,3.869,2,1,3,7,5,12,0,6,6,4,1,2,8,4,3,12,2,2,1,2,0.120481928,0.108433735,0.265060241,0.096385542,0.156626506,0.253012048,,,,,,,,,,,,,
P11075,464,752,288,0.2466,0.000173,42, False, golgi apparatus; cytoplasm,3.504,9,1,14,10,0,3,4,3,6,16,0,11,5,6,8,15,9,6,1,2,0.186046512,0.108527132,0.131782946,0.023255814,0.19379845,0.356589147,3,2,,,,,,,,,,,
P32337,8,1087,1079,0.4018,0.000088,78, True, nucleus; cytoplasm,2.647,22,0,54,53,6,30,6,8,31,8,5,30,26,31,11,32,22,7,0,5,0.276485788,0.108527132,0.201550388,0.028423773,0.072351421,0.312661499,18,1,,,,,,,,,,,
P40529,7,293,286,0.2773,0.000017,54, nan, golgi apparatus; cytoplasm,3.524,13,1,10,8,4,11,6,5,16,19,1,21,11,13,8,41,25,6,0,2,0.081447964,0.108597285,0.158371041,0.027149321,0.140271493,0.484162896,1,0,,,,,,,,,,,
P38237,5,82,77,0.3798,0.000066,78, True, nucleus; cytoplasm,4.074,5,2,2,5,1,0,0,2,3,4,0,6,3,0,2,3,2,4,0,2,0.152173913,0.108695652,0.173913043,0.065217391,0.217391304,0.282608696,2,0,,,,,,,,,,,
P38863,760,808,48,0.1944,0.000564,18, nan, cytoplasm; cytoskeleton; microtubule organizing center; spindle pole body; nucleus,4.376,2,1,3,4,4,1,0,6,3,3,0,2,0,2,2,7,1,2,0,3,0.152173913,0.108695652,0.065217391,0.152173913,0.239130435,0.282608696,,,,,,,,,,,,,
P39967,85,192,107,0.1675,0.136999,18, nan, ,3.898,4,2,6,8,7,5,1,5,4,3,1,7,3,0,6,11,6,6,0,7,0.152173913,0.108695652,0.130434783,0.152173913,0.163043478,0.293478261,,,,,,,,,,,,,
Q00578,92,254,162,0.3355,0.000028,66, nan, nucleus,3.907,5,0,10,4,3,6,3,6,3,7,2,4,7,3,7,11,1,6,0,4,0.152173913,0.108695652,0.195652174,0.076086957,0.22826087,0.239130435,,,,,,,,,,,,,
P17629,252,313,61,0.277,8.00E-06,54, False, nucleus,4.046,4,0,4,5,3,0,0,6,2,3,1,5,2,0,3,2,1,1,0,4,0.195652174,0.108695652,0.130434783,0.152173913,0.239130435,0.173913043,2,0,,,,,,,,,,,
P32862,1120,1166,46,0.2615,0.000028,42, nan, cytoplasm; nucleus,4.041,4,0,3,6,1,2,0,1,2,7,0,2,3,1,3,3,5,3,0,0,0.195652174,0.108695652,0.195652174,0.02173913,0.239130435,0.239130435,,,,,,,,,,,,,
P53036,61,122,61,0.0951,0.0277,6, nan, ,3.943,4,1,8,2,1,2,0,1,1,7,2,2,0,3,4,2,1,2,0,3,0.217391304,0.108695652,0.130434783,0.086956522,0.260869565,0.195652174,,,,,,,,,,,,,
Q00362,176,379,203,0.3267,0.000269,66, False, ,2.911,0,1,10,11,4,4,2,6,6,4,2,15,4,5,4,5,6,1,0,2,0.22826087,0.108695652,0.086956522,0.065217391,0.141304348,0.369565217,,,,,,,,,,,,,
P19262,76,148,72,0.2955,0.000114,54, True, mitochondrion,2.8,1,0,5,10,1,4,0,1,5,0,0,3,4,1,0,3,5,3,0,0,0.326086957,0.108695652,0.195652174,0.02173913,0.086956522,0.260869565,1,0,,,,,,,,,,,
P53749,188,601,413,0.317,0.033055,66, nan, nucleus,3.135,2,2,7,23,8,10,5,5,13,8,1,12,11,11,4,14,13,4,1,2,0.192307692,0.108974359,0.147435897,0.070512821,0.115384615,0.365384615,,,,,,,,,,,,,
Q12676,9,424,415,0.3178,0.000057,66, False, cytoplasm,2.888,6,1,11,19,1,25,6,1,14,7,2,16,6,9,3,16,7,4,1,1,0.192307692,0.108974359,0.237179487,0.019230769,0.08974359,0.352564103,1,0,,,,,,,,,,,
P33418,5,870,865,0.3122,0.000026,66, nan, cytoplasm; nucleus,2.746,20,1,42,33,8,16,6,10,34,12,6,60,14,27,6,36,26,5,1,4,0.204359673,0.108991826,0.136239782,0.035422343,0.089918256,0.42506812,,,,,,,,,,,,,
Q12194,89,226,137,0.1679,0.019571,18, nan, ,3.655,0,1,10,4,4,7,3,8,8,10,1,13,8,3,4,9,7,4,0,6,0.127272727,0.109090909,0.136363636,0.090909091,0.209090909,0.327272727,,,,,,,,,,,,,
P53094,504,574,70,0.2102,0.001022,30, nan, cytoplasm,4.055,2,0,3,5,1,5,0,4,2,7,2,1,5,1,4,5,0,1,1,6,0.145454545,0.109090909,0.218181818,0.145454545,0.254545455,0.127272727,,,,,,,,,,,,,
P53628,278,341,63,0.2257,0.000611,30, nan, nucleus,4.135,1,1,3,5,2,4,2,5,4,6,1,2,3,1,2,8,1,2,0,2,0.145454545,0.109090909,0.145454545,0.072727273,0.254545455,0.272727273,,,,,,,,,,,,,
P25359,27,97,70,0.2723,0.004161,54, True, nucleus; nucleolus; cytoplasm,4.264,3,1,3,6,1,6,0,7,4,5,0,3,1,1,2,3,5,2,0,2,0.163636364,0.109090909,0.181818182,0.054545455,0.254545455,0.236363636,1,0,,,,,,,,,,,
Q07938,33,332,299,0.3452,0.000369,66, True, nucleus; cytoplasm,3.175,5,0,5,15,3,19,7,4,9,2,1,7,10,4,3,2,8,5,0,1,0.181818182,0.109090909,0.309090909,0.036363636,0.109090909,0.254545455,4,0,,,,,,,,,,,
Q03835,3,108,105,0.3542,0.014772,66, True, ,2.82,4,0,5,12,0,3,0,2,6,2,0,3,2,2,0,8,4,0,1,1,0.309090909,0.109090909,0.163636364,0.036363636,0.072727273,0.309090909,,,,,,,,,,,,,
P40054,53,462,409,0.5139,0.000041,90, True, ,3.113,12,0,11,21,2,24,5,4,12,5,2,16,9,9,8,22,10,7,2,2,0.174863388,0.109289617,0.245901639,0.032786885,0.098360656,0.338797814,2,1,,,,,,,,,,,
Q03825,40,144,104,0.1919,0.006849,18, nan, nucleus; cytoplasm,3.622,4,0,6,4,2,6,0,4,6,4,2,7,1,2,1,10,1,1,2,1,0.15625,0.109375,0.171875,0.078125,0.171875,0.3125,,,,,,,,,,,,,
P53867,82,382,300,0.2812,0.000114,54, nan, nucleus; preautophagosomal structure; cytoplasm; mitochondrion,3.088,8,0,8,18,0,20,1,5,8,5,0,12,10,4,6,15,2,3,1,2,0.203125,0.109375,0.296875,0.0234375,0.1015625,0.265625,,,,,,,,,,,,,
P38623,526,589,63,0.3674,0.00003,78, True, cytoplasm,3.527,4,0,7,8,2,7,0,2,1,7,2,2,0,5,6,4,5,1,0,1,0.234375,0.109375,0.171875,0.046875,0.1875,0.25,,,,,,,,,,,,,
P32601,3,138,135,1.1467,NaN,90, nan, ,2.667,3,0,11,9,0,5,1,2,3,0,1,5,3,3,4,6,4,3,1,0,0.3125,0.109375,0.171875,0.015625,0.09375,0.296875,,,,,,,,,,,,,
P34072,326,536,210,0.2733,0.000913,54, nan, nucleus,3.518,12,0,7,6,6,5,9,9,12,17,5,24,15,15,11,32,16,4,1,4,0.061904762,0.10952381,0.152380952,0.052380952,0.166666667,0.457142857,,,,,,,,,,,,,
P40080,3,94,91,0.3503,0.009523,66, nan, cytoplasm; endosome,3.925,7,1,5,4,1,4,0,4,7,6,2,1,5,6,1,6,4,2,3,4,0.123287671,0.109589041,0.219178082,0.109589041,0.191780822,0.246575342,,,,,,,,,,,,,
P25040,23,136,113,0.3667,0.000131,78, True, cytoplasm,3.595,6,2,8,7,2,6,1,2,5,5,0,5,5,4,3,4,2,5,0,1,0.205479452,0.109589041,0.232876712,0.04109589,0.164383562,0.246575342,3,0,,,,,,,,,,,
P53250,13,144,131,0.3151,0.001399,66, False, cytoplasm; cytoskeleton,2.714,4,0,9,8,0,5,3,0,3,3,1,5,4,7,5,7,6,3,0,0,0.232876712,0.109589041,0.178082192,0,0.095890411,0.383561644,1,0,,,,,,,,,,,
Q07688,4,162,158,0.2632,0.007116,54, nan, nucleus; cytoplasm,2.558,3,0,13,9,2,6,2,2,5,0,2,7,1,4,3,6,5,1,0,2,0.301369863,0.109589041,0.136986301,0.054794521,0.068493151,0.328767123,1,0,,,,,,,,,,,
Q08912,52,140,88,0.4478,0.121993,90, nan, secreted,4.165,4,0,6,3,7,5,4,5,3,5,2,2,5,1,6,10,3,5,2,4,0.109756098,0.109756098,0.170731707,0.158536585,0.207317073,0.243902439,,,,,,,,,,,,,
Q12378,4,183,179,0.4789,0.005518,90, nan, nucleus; cytoplasm,3.527,2,0,8,10,6,5,1,3,7,4,3,4,3,3,3,13,7,4,0,5,0.197802198,0.10989011,0.10989011,0.120879121,0.153846154,0.307692308,,,,,,,,,,,,,
P38148,13,155,142,0.2908,0.000065,54, nan, ,3.305,6,2,10,7,5,5,5,0,5,8,0,11,3,6,6,10,5,5,1,0,0.17,0.11,0.14,0.06,0.13,0.39,,,,,,,,,,,,,
P39104,11,188,177,0.2367,0.00055,42, nan, nucleus; golgi apparatus; trans-golgi network,3.405,7,0,5,12,3,4,4,4,7,8,1,7,5,8,4,9,8,3,1,0,0.17,0.11,0.16,0.04,0.16,0.36,,,,,,,,,,,,,
P38903,263,708,445,0.2837,0.000069,54, True, nucleus; cytoplasm,3.11,7,0,15,35,2,7,1,7,10,12,2,15,21,12,12,15,9,12,2,4,0.25,0.11,0.175,0.04,0.165,0.26,2,0,,,,,,,,,,,
P36102,231,673,442,0.2357,0.000194,42, True, cytoplasm,3.143,3,2,23,16,8,14,3,8,13,11,4,30,10,9,10,23,11,7,0,4,0.186602871,0.110047847,0.129186603,0.057416268,0.14354067,0.373205742,1,0,,,,,,,,,,,
P39008,156,429,273,0.1671,0.007136,18, True, nucleus; cytoplasm,2.734,3,0,12,8,4,11,4,2,8,5,2,10,3,14,4,10,6,0,1,2,0.183486239,0.110091743,0.155963303,0.064220183,0.082568807,0.403669725,,,,,,,,,,,,,
P32263,3,240,237,0.4224,0.001172,78, True, ,3.456,8,1,7,17,2,18,3,1,13,7,3,2,7,5,0,12,4,5,0,3,0.203389831,0.110169492,0.279661017,0.042372881,0.13559322,0.228813559,14,0,,,,,,,,,,,
P46958,185,464,279,0.3122,0.004897,66, nan, ,2.721,7,1,12,18,3,10,2,2,7,1,2,10,0,11,6,15,5,3,0,3,0.254237288,0.110169492,0.144067797,0.050847458,0.06779661,0.372881356,,,,,,,,,,,,,
P25637,4,250,246,0.4294,0.02224,78, False, nucleus; cytoplasm,2.946,9,1,16,18,2,11,7,3,8,2,0,2,5,7,6,10,12,5,0,3,0.267716535,0.11023622,0.196850394,0.039370079,0.078740157,0.307086614,,,,,,,,,,,,,
P53338,82,453,371,0.059,0.0057,6, nan, nucleus,2.719,8,2,15,18,0,11,4,1,8,7,0,14,4,10,7,11,9,3,2,2,0.242647059,0.110294118,0.169117647,0.029411765,0.080882353,0.367647059,,,,,,,,,,,,,
Q92325,8,339,331,0.4091,0.007783,78, nan, ,2.868,8,1,16,16,1,5,6,4,7,7,4,15,8,10,9,17,7,3,0,1,0.220689655,0.110344828,0.144827586,0.013793103,0.124137931,0.386206897,,,,,,,,,,,,,
P25037,22,59,37,0.3176,0.000522,66, False, ,4.528,0,0,1,0,4,1,1,4,3,5,0,7,1,0,1,2,1,2,0,3,0.027777778,0.111111111,0.055555556,0.194444444,0.305555556,0.305555556,,,,,,,,,,,,,
P53038,613,674,61,0.2036,0.000051,30, nan, nucleus; chromosome; telomere,3.5,0,1,1,2,1,4,4,2,1,3,0,3,2,1,3,3,2,1,0,2,0.083333333,0.111111111,0.166666667,0.083333333,0.166666667,0.388888889,,,,,,,,,,,,,
P21957,213,263,50,0.1155,0.020192,6, nan, nucleus; endoplasmic reticulum,4.293,2,0,1,3,2,1,1,1,4,3,1,3,3,1,1,7,2,7,1,1,0.088888889,0.111111111,0.133333333,0.088888889,0.266666667,0.311111111,,,,,,,,,,,,,
P38352,20,254,234,0.3663,0.000168,78, nan, ,3.234,6,1,8,7,6,17,4,3,9,3,2,13,10,4,7,21,14,2,1,6,0.104166667,0.111111111,0.229166667,0.090277778,0.069444444,0.395833333,,,,,,,,,,,,,
P09959,214,258,44,0.1927,0.000848,18, nan, cytoplasm; nucleus,4.533,2,0,3,2,4,0,1,2,4,8,2,2,3,2,1,4,3,2,0,0,0.111111111,0.111111111,0.111111111,0.088888889,0.311111111,0.266666667,1,0,,,,,,,,,,,
P28742,824,851,27,0.0912,0.000678,6, nan, cytoplasm; cytoskeleton; spindle,4.278,0,0,2,1,1,1,0,2,1,5,2,3,1,0,2,5,1,0,0,0,0.111111111,0.111111111,0.074074074,0.037037037,0.333333333,0.333333333,,,,,,,,,,,,,
P54999,18,83,65,0.4063,0.000245,78, False, cytoplasm; nucleus,3.503,1,0,1,3,3,5,2,0,2,3,0,6,0,0,2,3,1,2,0,2,0.111111111,0.111111111,0.166666667,0.138888889,0.138888889,0.333333333,1,0,,,,,,,,,,,
Q06673,1203,1240,37,0.1727,0.003728,18, nan, cytoplasm,4.528,1,0,1,3,6,1,0,4,2,2,1,5,0,0,2,4,1,2,1,0,0.111111111,0.111111111,0.055555556,0.194444444,0.25,0.277777778,,,,,,,,,,,,,
P23503,400,470,70,0.3778,0.000315,78, False, nucleus; cytoplasm,3.865,5,2,2,6,0,7,2,1,4,9,1,3,5,3,3,3,2,2,0,3,0.126984127,0.111111111,0.26984127,0.047619048,0.206349206,0.238095238,,,,,,,,,,,,,
Q05892,4,90,86,0.1587,0.001474,6, nan, mitochondrion,3.159,3,0,1,6,2,6,3,1,4,5,0,7,1,5,2,3,2,1,0,2,0.12962963,0.111111111,0.185185185,0.074074074,0.12962963,0.37037037,,,,,,,,,,,,,
P22276,1079,1132,53,0.1901,1.00E-06,18, True, nucleus,4.519,4,1,1,4,1,3,0,2,3,6,1,0,0,1,1,3,3,0,0,2,0.138888889,0.111111111,0.194444444,0.083333333,0.25,0.222222222,,,,,,,,,,,,,
P53859,15,64,49,0.279,0.008342,54, True, nucleus; nucleolus; cytoplasm,3.606,1,0,2,3,0,6,1,1,2,3,0,3,2,1,2,0,4,3,0,2,0.138888889,0.111111111,0.25,0.055555556,0.194444444,0.25,,,,,,,,,,,,,
P43554,276,348,72,0.2206,0.000979,30, nan, nucleus,4,5,0,1,8,3,4,2,6,3,5,1,1,2,6,4,7,2,2,0,1,0.142857143,0.111111111,0.174603175,0.063492063,0.222222222,0.285714286,,,,,,,,,,,,,
P48562,211,243,32,0.1544,0.00017,6, False, ,2.63,2,0,1,3,1,1,1,0,2,0,0,4,0,3,1,2,1,1,2,2,0.148148148,0.111111111,0.111111111,0.185185185,0.037037037,0.407407407,,,,,,,,,,,,,
P47158,433,489,56,0.272,0.000372,54, nan, mitochondrion matrix,3.862,3,0,2,5,1,4,0,2,4,4,0,2,1,1,1,5,4,2,2,2,0.155555556,0.111111111,0.177777778,0.111111111,0.177777778,0.266666667,,,,,,,,,,,,,
P38042,27,207,180,0.1948,0.002778,18, nan, nucleus; cytoplasm,3.272,3,2,5,8,5,2,3,3,6,6,0,9,0,7,3,10,4,1,1,3,0.160493827,0.111111111,0.061728395,0.111111111,0.12345679,0.432098765,,,,,,,,,,,,,
